Record Date,Securities Sold Count,Gross Sales Amount,Returned Sales Amount,Net Sales Amount,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2021-07-31,1081,29125400.00,2635100.00,26490300.00,2021,4,2021,3,07,31
2021-06-30,20556,7524521.31,151623.04,7372898.27,2021,3,2021,2,06,30
2021-06-30,80193,287794582.04,6154613.12,281639968.92,2021,3,2021,2,06,30
2021-06-30,6944,1583287500.00,11401400.00,1571886100.00,2021,3,2021,2,06,30
2021-06-30,468,9208300.00,596700.00,8611600.00,2021,3,2021,2,06,30
2021-06-30,3629,153939100.00,107300.00,153831800.00,2021,3,2021,2,06,30
2021-05-31,18783,6223521.70,115599.00,6107922.70,2021,3,2021,2,05,31
2021-05-31,54571,124872947.58,1119300.50,123753647.08,2021,3,2021,2,05,31
2021-05-31,6695,1379928300.00,2261900.00,1377666400.00,2021,3,2021,2,05,31
2021-05-31,255,2844600.00,1000.00,2843600.00,2021,3,2021,2,05,31
2021-05-31,1273,51403200.00,1222000.00,50181200.00,2021,3,2021,2,05,31
2021-04-30,21810,5428537.42,67371.37,5361166.05,2021,3,2021,2,04,30
2021-04-30,41348,29693604.42,152006.50,29541597.92,2021,3,2021,2,04,30
2021-04-30,8252,1527259500.00,15180600.00,1512078900.00,2021,3,2021,2,04,30
2021-04-30,372,7273100.00,12500.00,7260600.00,2021,3,2021,2,04,30
2021-04-30,3042,110133400.00,576800.00,109556600.00,2021,3,2021,2,04,30
2021-03-31,22589,7032660.74,64953.00,6967707.74,2021,2,2021,1,03,31
2021-03-31,43346,34090823.51,334201.00,33756622.51,2021,2,2021,1,03,31
2021-03-31,9560,1610098700.00,4524000.00,1605574700.00,2021,2,2021,1,03,31
2021-03-31,599,5976900.00,18500.00,5958400.00,2021,2,2021,1,03,31
2021-03-31,3651,121279200.00,5819000.00,115460200.00,2021,2,2021,1,03,31
2021-02-28,19473,7294917.98,97310.00,7197607.98,2021,2,2021,1,02,28
2021-02-28,37795,36777158.69,276881.83,36500276.86,2021,2,2021,1,02,28
2021-02-28,9025,1578901200.00,7706600.00,1571194600.00,2021,2,2021,1,02,28
2021-02-28,526,14898200.00,1600.00,14896600.00,2021,2,2021,1,02,28
2021-02-28,1898,70841500.00,476500.00,70365000.00,2021,2,2021,1,02,28
2021-01-31,23005,20694680.35,110135.00,20584545.35,2021,2,2021,1,01,31
2021-01-31,49510,106024187.98,412178.95,105612009.03,2021,2,2021,1,01,31
2021-01-31,9248,1697460600.00,15749200.00,1681711400.00,2021,2,2021,1,01,31
2021-01-31,115,1937200.00,4200.00,1933000.00,2021,2,2021,1,01,31
2021-01-31,902,32645100.00,996400.00,31648700.00,2021,2,2021,1,01,31
2020-12-31,40451,12320209.61,118060.00,12202149.61,2021,1,2020,4,12,31
2020-12-31,58705,48962009.97,532082.15,48429927.82,2021,1,2020,4,12,31
2020-12-31,10607,1942031500.00,10200200.00,1931831300.00,2021,1,2020,4,12,31
2020-12-31,250,2637600.00,78200.00,2559400.00,2021,1,2020,4,12,31
2020-12-31,1759,64194400.00,36200.00,64158200.00,2021,1,2020,4,12,31
2020-11-30,22258,5385934.31,85970.00,5299964.31,2021,1,2020,4,11,30
2020-11-30,40696,29877608.48,267682.81,29609925.67,2021,1,2020,4,11,30
2020-11-30,8546,1762177000.00,15472100.00,1746704900.00,2021,1,2020,4,11,30
2020-11-30,405,2468800.00,6500.00,2462300.00,2021,1,2020,4,11,30
2020-11-30,2563,98666100.00,2610500.00,96055600.00,2021,1,2020,4,11,30
2020-10-31,21845,5725190.73,97446.04,5627744.69,2021,1,2020,4,10,31
2020-10-31,37803,16351096.21,100750.00,16250346.21,2021,1,2020,4,10,31
2020-10-31,9434,1726629200.00,14345900.00,1712283300.00,2021,1,2020,4,10,31
2020-10-31,100,164300.00,200.00,164100.00,2021,1,2020,4,10,31
2020-10-31,860,29473600.00,659600.00,28814000.00,2021,1,2020,4,10,31
2020-09-30,20529,5119442.19,32608.54,5086833.65,2020,4,2020,3,09,30
2020-09-30,35184,14137446.76,130854.24,14006592.52,2020,4,2020,3,09,30
2020-09-30,9925,1884130800.00,13648900.00,1870481900.00,2020,4,2020,3,09,30
2020-09-30,185,1696500.00,30300.00,1666200.00,2020,4,2020,3,09,30
2020-09-30,1592,41340000.00,331000.00,41009000.00,2020,4,2020,3,09,30
2020-08-31,20632,5077241.48,143359.30,4933882.18,2020,4,2020,3,08,31
2020-08-31,35400,14977147.01,151839.50,14825307.51,2020,4,2020,3,08,31
2020-08-31,10092,1784750000.00,9175100.00,1775574900.00,2020,4,2020,3,08,31
2020-08-31,411,2856000.00,13200.00,2842800.00,2020,4,2020,3,08,31
2020-08-31,1424,44513000.00,1679200.00,42833800.00,2020,4,2020,3,08,31
2020-07-31,21111,4957296.36,100590.07,4856706.29,2020,4,2020,3,07,31
2020-07-31,37417,13441670.16,112522.33,13329147.83,2020,4,2020,3,07,31
2020-07-31,11230,1871939200.00,11526900.00,1860412300.00,2020,4,2020,3,07,31
2020-07-31,171,797500.00,46000.00,751500.00,2020,4,2020,3,07,31
2020-07-31,1859,77385400.00,949100.00,76436300.00,2020,4,2020,3,07,31
